wave,posterior,var,xwaveid
3,0.1141,losathl,0100674
4,0.1098,losathl,0100674
5,0.1414,losathl,0100674
6,0.1167,losathl,0100674
7,0,losathl,0100674
8,0,losathl,0100674
-6,0,losatlc,0100674
-5,0,losatlc,0100674
-4,0,losatlc,0100674
-3,0.0738,losatlc,0100674
-2,0.0388,losatlc,0100674
-1,0.0413,losatlc,0100674
0,0.0677,losatlc,0100674
1,0.0447,losatlc,0100674
2,0.0455,losatlc,0100674
3,0.0249,losatlc,0100674
4,0.0714,losatlc,0100674
5,0.0467,losatlc,0100674
6,0.0568,losatlc,0100674
7,0,losatlc,0100674
8,0,losatlc,0100674
-6,0,losatnl,0100674
-5,0,losatnl,0100674
-4,0,losatnl,0100674
-3,0.0395,losatnl,0100674
-2,0.037,losatnl,0100674
-1,0.0336,losatnl,0100674
0,0.0623,losatnl,0100674
1,0.0277,losatnl,0100674
2,0.0698,losatnl,0100674
3,0.0311,losatnl,0100674
4,0.0452,losatnl,0100674
5,0.053,losatnl,0100674
6,0.0478,losatnl,0100674
7,0,losatnl,0100674
8,0,losatnl,0100674
-6,0,losatsf,0100674
-5,0,losatsf,0100674
-4,0,losatsf,0100674
-3,0.0427,losatsf,0100674
-2,0.1255,losatsf,0100674
-1,0.0551,losatsf,0100674
0,0.0806,losatsf,0100674
1,0.0802,losatsf,0100674
2,0.0849,losatsf,0100674
3,0.0787,losatsf,0100674
4,0.1609,losatsf,0100674
5,0.0717,losatsf,0100674
6,0.1031,losatsf,0100674
7,0,losatsf,0100674
8,0,losatsf,0100674
-6,0,losatyh,0100674
-5,0,losatyh,0100674
-4,0,losatyh,0100674
-3,0.0414,losatyh,0100674
-2,0.0235,losatyh,0100674
-1,0.0414,losatyh,0100674
0,0.0291,losatyh,0100674
1,0.0319,losatyh,0100674
2,0.0311,losatyh,0100674
3,0.0317,losatyh,0100674
4,0.0257,losatyh,0100674
5,0.0461,losatyh,0100674
6,0.0348,losatyh,0100674
7,0,losatyh,0100674
8,0,losatyh,0100674
-6,0,lssupac,0100674
-5,0,lssupac,0100674
-4,0,lssupac,0100674
-3,0.0458,lssupac,0100674
-2,0.0331,lssupac,0100674
-1,0.0675,lssupac,0100674
0,0.0274,lssupac,0100674
1,0.0346,lssupac,0100674
2,0.0445,lssupac,0100674
3,0.0289,lssupac,0100674
4,0.0284,lssupac,0100674
5,0.0275,lssupac,0100674
6,0.0409,lssupac,0100674
7,0,lssupac,0100674
8,0,lssupac,0100674
-6,0,lssuplt,0100674
-5,0,lssuplt,0100674
-4,0,lssuplt,0100674
-3,0.0545,lssuplt,0100674
-2,0.0368,lssuplt,0100674
-1,0.0705,lssuplt,0100674
0,0.0421,lssuplt,0100674
1,0.0475,lssuplt,0100674
2,0.041,lssuplt,0100674
3,0.0502,lssuplt,0100674
4,0.0447,lssuplt,0100674
5,0.0543,lssuplt,0100674
6,0.0415,lssuplt,0100674
7,0,lssuplt,0100674
8,0,lssuplt,0100674
-6,0,lssupnh,0100674
-5,0,lssupnh,0100674
-4,0,lssupnh,0100674
-3,0.4956,lssupnh,0100674
-2,0.0983,lssupnh,0100674
-1,0.1505,lssupnh,0100674
0,0.3113,lssupnh,0100674
1,0.2692,lssupnh,0100674
